"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"RP5-1092A3.4",3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,30,0,0,2,1,1
"SESN2",6,2,3,0,0,0,40,1,0,0,0,9,5,1,1,5,2,182,0,5,2,4,2
"MED18",1,0,1,1,0,0,20,0,0,0,0,8,0,1,2,0,2,93,1,0,5,0,0
"PHACTR4",10,1,1,0,0,1,35,0,1,1,0,7,3,0,1,0,2,304,1,2,5,0,6
"RCC1",8,0,9,0,0,0,15,0,0,0,0,0,0,0,3,0,0,227,0,3,33,1,5
"TRNAU1AP",12,2,14,2,2,3,74,3,0,1,3,17,21,6,5,2,3,246,0,3,29,1,2
"SNHG12",81,3,8,2,1,1,36,4,3,0,5,18,17,5,3,2,1,237,0,10,56,1,10
"TAF12",55,9,29,1,6,3,214,9,3,6,11,69,32,4,5,11,8,398,0,14,35,5,20
"RAB42",110,0,2,0,0,0,9,0,0,0,0,0,0,1,0,0,0,5,0,4,0,0,0
"RP11-442N24--B.1",2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"GMEB1",8,0,6,0,1,2,24,3,0,1,5,9,6,0,3,3,0,89,0,4,4,2,0
"YTHDF2",25,8,19,3,5,3,140,9,4,3,17,57,30,1,12,2,7,505,0,26,32,6,21
"EPB41",2,2,3,1,1,0,4,0,2,0,5,15,3,2,0,3,0,377,0,5,3,1,0
"TMEM200B",0,0,0,0,0,2,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SRSF4",20,4,10,5,3,3,172,10,0,2,6,36,19,10,7,4,2,591,1,16,30,6,30
"MECR",1,0,3,0,0,0,45,0,0,2,2,3,4,2,1,2,0,285,0,1,17,1,1
"MATN1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"MATN1-AS1",0,1,1,0,1,0,3,3,0,0,1,2,3,0,1,0,0,19,0,2,1,1,0
"LAPTM5",918,50,271,17,18,0,15,68,40,18,179,563,260,0,193,66,43,6,0,10,506,62,4
"SDC3",48,0,5,0,0,2,48,0,0,0,0,0,0,3,0,0,0,25,0,0,0,0,6
"PUM1",11,2,4,0,0,0,38,2,0,0,0,5,1,0,0,1,0,313,0,1,5,0,6
"SNRNP40",30,3,20,6,2,1,195,15,3,3,16,36,34,4,7,8,6,600,1,21,54,8,22
"ZCCHC17",30,1,17,2,0,1,113,8,0,7,7,23,11,4,6,2,0,369,1,7,21,4,13
"FABP3",74,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
"SERINC2",6,0,0,0,0,0,2,2,0,0,0,2,0,0,1,0,0,2010,0,0,5,0,2
"TINAGL1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,770,11,0,0,0,90
"PEF1",16,4,9,5,0,3,216,8,5,2,6,42,16,7,6,5,3,514,1,8,11,4,47
"COL16A1",0,0,0,0,0,7,74,0,0,0,0,0,0,7,0,0,0,59,0,0,0,0,1
"PTP4A2",34,9,26,0,1,3,105,6,3,0,3,45,17,1,2,7,2,762,0,14,57,3,12
"KHDRBS1",46,10,34,2,1,5,300,18,9,4,11,100,45,17,15,18,10,1241,3,25,101,8,37
"RP11-277A4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"TMEM39B",12,1,9,0,2,0,88,0,0,0,0,9,5,7,1,1,2,145,1,6,8,0,15
"KPNA6",10,2,4,1,0,0,36,0,0,0,1,11,5,5,2,3,2,303,0,2,3,2,5
"TXLNA",4,3,7,0,0,2,22,3,0,0,0,1,1,0,1,0,1,151,0,4,3,2,3
"CCDC28B",5,0,2,0,1,2,123,0,0,1,3,8,4,2,1,0,4,51,0,2,37,0,6
"IQCC",1,0,0,0,0,0,4,1,0,0,0,2,8,0,0,0,0,52,0,0,1,0,0
"TMEM234",11,0,0,0,0,1,52,2,0,1,2,10,3,6,4,0,0,195,0,1,8,1,8
"EIF3I",113,19,70,5,3,10,495,29,11,8,28,143,75,13,26,22,16,2663,2,59,157,16,58
"FAM167B",0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,1,0,11,0,0,1,0,128
"LCK",2,49,1,17,10,0,3,59,21,0,2,459,205,0,10,83,56,6,0,1,70,66,3
"HDAC1",4,7,11,3,2,1,156,9,1,4,11,60,38,5,17,9,3,1341,2,8,104,7,42
"MARCKSL1",75,8,60,7,1,10,336,5,3,1,34,89,47,3,53,6,4,5916,3,28,566,4,149
"FAM229A",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,1
"BSDC1",7,2,8,0,0,3,113,4,0,0,6,21,8,7,4,5,2,403,0,12,5,5,19
"ZBTB8B",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"ZBTB8A",0,0,0,1,1,1,23,0,0,0,0,2,2,2,0,0,0,83,0,3,3,0,4
"ZBTB8OS",33,3,10,1,0,2,101,4,4,2,4,42,15,4,5,4,4,549,0,24,44,5,15
"RBBP4",18,7,18,4,4,1,186,4,2,3,9,47,22,3,10,6,3,508,0,39,94,8,23
"SYNC",1,0,0,0,0,0,24,1,0,0,0,2,2,3,0,0,0,24,0,2,3,0,2
"KIAA1522",1,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,5
"YARS",9,1,4,4,0,0,46,2,1,1,0,16,10,0,1,2,2,237,0,7,23,0,2
"S100PBP",3,0,6,0,0,0,34,2,0,0,0,7,7,0,2,0,1,83,0,5,12,3,8
"HPCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
"TMEM54",0,0,0,0,0,0,33,2,0,0,0,0,1,1,1,0,0,6174,1,1,2,0,2
"RNF19B",17,1,4,0,0,0,9,0,0,0,1,9,1,0,0,0,0,122,0,1,3,0,2
"AK2",48,3,22,1,3,4,245,9,1,3,11,45,32,5,4,9,0,2085,1,21,84,5,32
"TRIM62",2,2,2,0,0,0,3,2,0,0,0,5,2,0,1,2,0,15,1,3,0,0,0
"ZNF362",3,0,1,0,0,0,20,0,0,0,2,5,1,2,0,2,0,48,0,0,0,0,0
"PHC2",23,0,7,0,0,1,40,1,0,0,0,3,1,3,0,0,0,260,2,2,1,0,10
"ZSCAN20",0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1
"CSMD2",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
"SMIM12",45,2,10,0,4,1,79,6,3,0,6,62,30,4,8,8,7,746,1,6,20,4,17
"GJB3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
"DLGAP3",13,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16,0,0,1,0,0
"ZMYM6",3,0,3,1,0,0,22,1,0,3,3,6,4,1,1,3,1,73,0,2,1,2,5
"ZMYM1",0,0,2,0,0,0,14,0,1,0,0,3,0,1,0,0,0,13,0,0,0,0,2
"SFPQ",48,9,22,2,1,4,166,3,6,5,21,79,28,3,5,3,1,1190,4,15,62,3,24
"ZMYM4",2,0,0,0,2,0,22,0,0,0,1,5,1,0,0,0,0,51,0,1,1,0,1
"KIAA0319L",9,0,2,0,0,0,24,0,1,1,0,8,5,0,0,1,0,275,0,8,2,0,1
"NCDN",1,0,0,0,0,0,15,0,0,0,0,6,0,0,0,1,0,11,0,0,2,0,1
"RP4-728D4.2",1,1,3,0,0,0,0,0,0,1,0,4,2,0,2,1,1,0,0,2,1,3,0
"PSMB2",133,14,47,1,5,3,370,23,7,6,21,126,74,13,16,10,12,1691,8,48,138,15,66
"C1orf216",5,0,1,0,0,3,19,1,0,1,2,3,2,5,0,0,0,3,0,0,1,0,2
"CLSPN",9,1,3,0,0,0,8,0,0,0,0,4,1,0,0,0,0,99,0,0,29,0,0
"AGO4",2,1,0,0,1,0,8,0,0,0,0,6,0,0,0,3,0,28,0,0,1,0,1
"AGO1",4,0,2,0,0,0,12,0,0,0,2,2,1,0,0,1,0,96,0,0,2,0,3
"AGO3",7,0,7,0,0,1,29,3,0,1,0,10,9,0,2,3,0,88,0,1,6,1,7
"ADPRHL2",21,2,5,1,1,2,44,6,1,0,6,14,6,4,5,4,0,284,0,3,25,4,9
"TRAPPC3",70,2,31,3,0,6,196,15,5,1,14,52,27,11,2,11,8,782,0,28,44,11,37
"MAP7D1",11,4,17,3,1,3,78,9,3,1,3,25,18,4,2,7,3,274,1,8,8,2,22
"THRAP3",21,1,26,4,2,2,140,12,10,1,12,65,31,5,12,12,9,792,1,15,52,8,21
"SH3D21",20,0,9,0,0,0,6,0,0,0,0,2,1,0,1,0,0,17,0,3,3,0,0
"EVA1B",14,0,5,0,1,1,110,0,0,0,0,3,4,2,0,1,0,0,1,1,0,0,36
"RP11-268J15.5",3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
"STK40",13,0,1,0,0,1,17,3,1,1,0,6,6,2,0,2,0,199,2,3,8,2,5
"LSM10",99,3,35,3,5,2,180,18,2,7,23,86,41,8,25,6,14,657,1,37,114,3,25
"OSCP1",3,0,1,0,0,1,22,0,0,0,0,0,0,0,0,0,0,39,0,1,0,0,5
"MRPS15",69,9,29,1,2,2,179,7,2,1,14,60,46,4,7,5,9,1529,3,33,67,4,24
"CSF3R",23,0,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ZC3H12A",18,5,16,0,2,4,27,8,0,4,4,35,20,0,2,4,5,168,0,4,9,2,3
"MEAF6",43,14,25,7,3,1,276,29,5,3,31,161,78,20,12,13,23,671,1,43,38,18,38
"SNIP1",3,0,0,0,0,0,8,0,0,0,2,7,2,0,2,0,0,25,0,0,4,0,1
"DNALI1",0,0,0,0,0,1,52,0,0,0,0,0,0,4,0,0,0,32,1,0,0,0,2
"GNL2",14,2,12,3,0,1,62,1,0,1,3,16,9,2,1,2,1,330,0,8,12,0,10
"RSPO1",0,0,0,0,0,0,12,0,0,0,1,1,0,0,0,0,0,42,0,0,0,0,1
"C1orf109",1,0,2,0,1,1,47,0,0,1,1,8,2,1,0,2,0,73,0,1,8,0,4
