"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"MKL1",21,1,13,0,0,2,1,20,0,0,0,0,0,19,10,6,0,9,36,4,1,0,6,1,52,5,24,1,2,1
"SLC25A17",26,2,2,0,1,2,0,34,0,2,0,1,0,24,13,6,4,4,37,1,0,1,24,0,106,1,24,4,3,2
"ST13",719,36,92,5,3,7,22,704,5,31,6,7,9,875,270,118,45,214,1347,49,9,14,386,11,2329,30,387,42,111,88
"XPNPEP3",52,2,10,0,1,0,0,27,0,1,0,0,0,39,12,5,2,12,57,4,2,0,16,0,131,2,14,2,2,4
"DNAJB7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RBX1",1114,38,174,5,3,15,49,514,4,30,4,4,10,544,322,148,83,187,723,23,27,19,509,12,2490,58,575,66,86,83
"EP300",29,3,6,0,0,1,1,15,1,1,0,0,0,19,13,5,1,14,38,2,0,0,6,1,60,2,17,1,5,0
"L3MBTL2",35,3,3,1,0,2,2,25,0,1,0,1,0,29,17,13,2,8,47,0,0,2,15,0,107,3,14,5,3,3
"RP4-756G23.5",2,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,5,0,1,0,0,1
"CHADL",8,0,0,0,0,0,20,0,0,0,0,0,0,1,0,1,0,1,4,0,0,0,2,0,22,0,0,0,0,0
"RANGAP1",50,2,6,0,0,1,1,9,0,2,0,0,0,28,18,8,1,6,37,1,0,1,2,0,90,3,23,5,5,4
"ZC3H7B",48,1,3,0,0,0,2,36,1,2,0,0,0,15,11,5,2,3,22,1,0,1,13,0,50,1,7,1,3,4
"TEF",6,0,0,0,0,0,3,6,0,0,0,0,0,7,2,0,1,0,4,0,0,1,2,0,13,0,1,0,1,0
"TOB2",80,12,16,3,3,3,15,97,1,7,0,2,0,97,57,27,6,30,140,3,4,2,56,1,323,6,47,2,11,9
"PHF5A",152,12,40,1,3,3,10,138,0,6,1,2,1,137,68,46,18,40,218,6,1,2,91,3,523,10,137,27,16,28
"ACO2",210,9,33,1,2,1,8,96,1,5,0,1,0,109,72,24,11,38,125,7,1,5,174,1,495,9,56,3,13,9
"POLR3H",97,4,18,0,0,1,3,50,1,2,0,0,0,45,18,13,5,6,90,1,1,0,23,0,203,1,28,3,12,3
"PMM1",60,7,12,0,0,1,5,102,0,2,0,0,0,11,21,5,10,7,48,1,0,0,63,1,153,3,36,3,8,1
"DESI1",191,7,22,1,1,4,3,62,0,10,1,0,0,91,65,26,1,32,162,9,3,3,39,1,876,13,51,10,24,12
"XRCC6",329,27,78,0,7,5,25,400,4,23,6,3,1,274,176,92,55,112,447,23,12,8,267,7,950,25,206,42,41,34
"C22orf46",31,2,2,1,2,2,3,21,0,1,0,1,0,59,28,9,1,15,104,1,0,1,6,0,104,3,15,1,14,2
"MEI1",65,6,4,0,2,0,2,32,1,3,2,3,0,63,47,28,5,21,133,3,1,3,3,1,1700,4,13,1,15,3
"CCDC134",16,0,1,1,0,0,0,5,0,0,0,0,0,4,4,2,1,3,10,1,0,0,3,0,59,0,6,0,4,1
"RP5-821D11.7",4,1,2,0,0,1,0,3,1,0,0,1,0,15,7,1,0,4,25,0,0,0,8,0,93,0,15,1,2,1
"SREBF2",25,1,6,0,0,0,1,10,1,1,0,0,0,27,8,2,0,7,36,0,1,1,34,0,74,3,25,2,5,2
"TNFRSF13C",7,0,5,0,0,0,0,3,0,0,0,0,0,182,3,0,0,80,23,2,2,0,1,0,107,1,67,1,5,0
"CENPM",87,5,16,0,0,0,2,15,0,1,0,0,0,123,10,10,1,60,73,0,0,1,71,3,163,0,317,28,11,1
"SEPT3",9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"WBP2NL",5,0,1,0,0,0,0,0,0,0,0,0,0,15,2,1,0,3,6,0,0,0,2,0,46,1,6,1,1,0
"NAGA",340,4,62,1,0,0,2,60,0,2,0,1,0,8,16,7,6,7,27,0,0,0,30,0,181,20,11,2,3,6
"FAM109B",13,0,2,0,0,0,3,43,0,0,0,0,0,2,3,0,3,0,3,1,0,1,8,0,30,0,0,0,0,3
"SMDT1",607,26,93,4,3,2,19,264,1,18,5,1,0,370,180,90,25,141,446,19,14,8,440,3,2730,38,356,21,42,42
"NDUFA6",585,23,76,2,3,5,18,346,4,22,1,3,2,235,213,96,26,73,434,22,9,9,629,4,1653,32,166,39,48,53
"CYP2D6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,5,0,0,0,0,0
"TCF20",18,0,1,0,0,0,0,11,0,1,0,0,0,23,10,7,1,9,37,0,0,1,16,0,45,1,5,2,4,1
"Z83851.4",2,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,1,0,7,0,0,0,1,0
"NFAM1",113,1,8,0,0,0,0,5,0,0,0,0,0,5,22,7,0,2,37,0,0,0,0,0,8,4,2,1,4,0
"RRP7A",239,9,41,3,4,2,5,96,1,10,0,0,1,171,84,29,11,52,195,7,8,4,80,2,363,12,146,17,13,16
"SERHL2",1,0,1,0,0,0,3,4,0,0,0,0,0,3,1,0,0,2,0,0,1,0,0,0,4,0,2,0,0,0
"POLDIP3",59,2,15,0,0,2,3,57,0,5,0,0,2,62,23,11,4,15,74,3,2,2,28,1,152,2,46,4,9,6
"RNU12",22,1,1,0,0,0,1,13,0,8,0,1,0,15,9,5,2,3,8,2,2,1,3,0,277,0,4,0,0,1
"CYB5R3",268,13,46,0,1,4,18,507,0,5,1,3,3,140,79,40,62,24,131,2,6,7,63,11,388,10,128,4,18,49
"ATP5L2",85,7,22,0,2,0,4,16,0,0,1,2,0,45,31,13,0,12,59,5,2,1,23,0,254,2,42,2,4,4
"A4GALT",9,0,0,0,0,0,0,69,0,0,0,0,0,21,1,0,7,2,5,1,0,0,0,3,19,0,31,0,0,26
"ARFGAP3",154,7,21,2,1,2,3,87,0,6,0,1,1,51,45,13,8,15,77,3,6,1,21,2,843,11,30,3,16,13
"PACSIN2",135,1,32,0,0,0,2,41,0,2,0,0,1,42,10,4,9,18,62,4,1,1,98,1,123,6,22,0,3,7
"AL022476.2",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,4,0,0,0,2,0,6,0,0,0,1,0
"TTLL1",13,3,2,0,0,0,1,26,0,1,0,0,1,10,7,5,4,2,17,1,0,0,1,0,37,0,4,0,4,3
"BIK",24,5,2,1,2,1,0,8,0,0,0,2,0,45,20,11,1,11,63,0,4,4,103,0,475,3,162,2,6,2
"MCAT",27,1,11,1,1,1,5,30,0,0,0,2,1,18,21,11,4,8,51,3,2,5,35,0,96,0,14,1,7,8
"TSPO",472,44,85,1,11,12,74,332,3,33,4,8,6,280,255,127,41,131,674,25,22,17,1398,2,1339,61,126,13,63,113
"TTLL12",29,0,3,0,0,1,2,13,0,0,0,0,0,13,5,2,1,2,16,0,0,0,44,0,56,2,2,1,5,4
"SCUBE1",2,0,0,0,0,0,0,41,0,1,0,0,0,1,5,2,1,0,1,0,0,0,0,0,10,0,3,0,0,0
"EFCAB6",2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,3,0,0,0,0,0
"PNPLA3",1,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1
"SAMM50",91,2,11,0,0,2,2,97,0,3,0,1,0,63,26,9,14,20,80,3,1,1,96,2,286,2,54,7,12,16
"PARVB",183,3,30,0,0,1,3,36,1,2,1,0,1,48,11,13,3,29,31,1,1,4,3,0,261,8,6,3,6,16
"PARVG",102,9,40,1,2,2,1,7,0,9,0,0,1,94,58,28,1,62,104,7,4,2,1,0,166,7,68,8,12,1
"KIAA1644",1,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"LDOC1L",14,3,2,0,0,0,0,22,0,2,0,0,0,6,3,4,3,0,6,1,0,1,9,0,20,1,1,0,5,1
"PRR5",26,4,2,1,0,3,2,57,0,2,2,2,0,14,53,13,8,8,48,5,2,8,35,0,104,0,2,2,5,3
"ARHGAP8",4,0,0,0,0,0,1,2,0,0,0,1,0,4,3,1,0,0,6,0,0,0,14,0,12,0,1,0,1,0
"NUP50",115,6,12,2,3,1,0,42,0,3,0,0,0,57,43,12,6,16,117,2,0,4,54,0,206,2,53,8,16,10
"KIAA0930",324,1,33,0,0,1,1,54,0,1,0,0,0,37,14,9,8,11,33,2,3,1,6,0,235,14,10,1,6,3
"UPK3A",0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0
"FAM118A",25,11,3,1,0,0,2,57,0,10,3,2,0,44,66,25,11,8,203,8,2,1,17,0,130,5,16,2,22,6
"RIBC2",1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0
"FBLN1",83,8,15,0,1,0,14,3015,0,4,0,0,1,28,27,10,127,9,49,3,3,1,2,0,473,3,10,1,4,6
"ATXN10",123,9,36,1,3,3,10,196,0,11,3,2,1,84,57,23,13,34,119,3,1,3,61,0,455,8,105,7,10,20
"WI2-85898F10.1",3,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,1,10,0,0,0,1,0,8,0,1,0,1,0
"CITF22-92A6.1",5,0,0,0,0,0,1,5,0,0,0,0,0,4,1,1,1,0,3,0,0,0,8,0,10,1,0,0,0,1
"RP6-109B7.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"PPARA",40,0,2,0,0,1,0,21,0,3,0,0,0,12,7,8,2,3,29,1,3,0,47,0,104,1,3,0,2,4
"CDPF1",16,0,4,0,0,0,0,30,0,1,0,0,1,16,3,6,3,8,24,2,1,0,5,0,66,0,5,0,2,5
"TTC38",56,5,7,1,0,0,1,29,0,5,0,0,0,22,8,8,0,9,18,1,2,2,106,0,226,1,6,1,1,2
"GTSE1",24,0,1,0,0,0,0,3,0,0,0,0,0,5,1,2,1,0,4,1,0,1,40,1,30,1,110,12,0,0
"TRMU",37,4,7,0,1,0,6,41,0,0,0,2,0,35,18,9,7,11,53,2,4,2,31,1,102,0,26,3,11,6
"CELSR1",3,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,4,2,0,1,0,1,0,5,0,1,0,2,3
"GRAMD4",68,0,3,0,0,0,0,9,2,0,1,0,0,7,8,3,0,5,19,0,0,1,13,0,30,2,10,1,5,0
"CERK",45,2,13,0,1,0,1,39,0,3,3,1,0,22,44,16,2,7,91,2,0,1,23,0,140,2,19,3,12,13
"CTA-29F11.1",69,7,22,1,0,1,1,56,1,1,0,0,0,29,38,16,3,8,92,3,3,0,22,1,338,1,15,2,12,6
"TBC1D22A",91,1,13,0,1,0,5,29,0,0,0,1,0,73,16,12,3,27,49,2,4,2,24,0,195,6,39,2,5,13
"RP11-536P6.3",1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
"C22orf34",8,0,1,0,0,0,0,0,0,1,0,0,0,5,3,1,0,0,3,0,0,0,0,0,11,0,1,0,0,1
"RP1-29C18.10",1,1,3,0,0,0,0,3,0,0,0,0,0,19,2,3,0,6,24,0,0,0,0,0,14,0,4,0,2,0
"BRD1",15,1,4,0,1,1,1,9,0,0,0,1,0,10,3,4,1,3,22,1,0,0,9,0,31,1,5,1,3,1
"ZBED4",26,2,2,0,0,0,0,12,0,1,0,0,0,15,14,4,0,3,18,1,0,0,10,0,37,1,8,0,1,2
"ALG12",33,4,4,0,0,1,0,70,0,2,0,1,0,27,10,3,7,8,31,0,1,0,10,1,144,2,9,0,1,4
"CITF22-1A6.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"CRELD2",375,15,62,2,4,3,12,252,0,18,0,2,0,155,150,77,17,46,243,4,11,6,95,6,5682,13,65,6,34,28
"PIM3",390,24,85,5,3,6,8,112,0,18,2,14,0,151,118,55,5,51,164,3,19,5,51,1,1192,58,68,8,64,98
"TRABD",239,21,43,2,3,3,5,86,1,16,2,2,2,321,114,66,9,88,354,14,8,2,99,0,1265,23,187,9,31,14
"RP3-402G11.25",15,1,0,0,0,0,0,3,0,0,0,0,0,17,0,2,0,6,2,1,0,1,0,0,33,0,8,0,0,0
"RP3-402G11.26",11,1,0,0,0,0,0,5,0,1,0,0,0,20,1,2,0,6,16,0,1,0,1,0,29,0,4,0,0,0
"SELO",23,0,6,0,0,0,1,11,0,0,0,0,0,18,1,2,0,4,16,0,0,0,6,0,41,2,3,1,0,1
"RP3-402G11.28",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,3
"TUBGCP6",17,0,3,0,0,1,0,17,0,1,0,0,0,10,6,5,1,4,28,2,0,0,7,0,68,0,8,0,2,0
"HDAC10",13,4,4,0,0,0,1,18,0,2,0,0,1,23,11,8,2,7,45,0,1,2,14,1,56,4,15,0,4,6
"MAPK12",46,0,0,0,0,0,0,31,0,1,0,0,0,8,3,2,1,1,0,0,0,2,0,0,57,2,4,0,0,9
"MAPK11",2,0,1,0,0,1,1,4,0,0,0,1,0,1,3,4,0,0,3,0,0,0,0,0,22,0,1,0,3,12
"PLXNB2",138,0,19,0,0,0,0,62,0,0,0,0,0,9,5,1,5,0,9,0,0,0,40,2,100,5,14,1,1,8
"DENND6B",68,2,23,1,0,1,5,20,0,2,0,2,0,129,18,12,1,27,37,4,1,4,5,0,431,4,57,3,11,14
"PPP6R2",55,4,5,0,1,0,2,41,0,2,2,0,0,35,25,8,3,12,36,1,1,0,15,0,180,2,16,1,5,5
"SBF1",37,0,2,0,1,0,2,6,0,1,0,1,0,27,15,9,0,4,28,0,2,0,8,0,74,0,13,2,5,3
"ADM2",5,2,1,0,0,0,1,10,0,0,0,0,0,9,2,1,0,1,5,0,0,0,0,0,149,0,1,0,1,2
"MIOX",1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,3,0,1,1,1,0,26,0,0,0,2,1
"LMF2",104,4,6,1,2,3,11,104,0,5,0,1,0,51,31,17,4,12,77,2,2,2,28,0,334,7,20,3,9,8
"NCAPH2",53,3,7,0,0,2,4,44,0,2,2,0,0,50,31,13,7,13,97,3,2,1,34,3,281,2,62,5,9,6
"SCO2",293,7,45,1,0,2,7,77,1,6,2,0,1,87,49,13,3,27,130,5,1,4,115,1,703,21,26,8,18,13
"CTA-384D8.36",7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,9,0,3,0,1,0
"TYMP",3385,42,644,10,5,7,52,910,2,33,5,4,0,668,329,168,51,144,311,7,14,12,81,1,5095,326,79,9,72,51
"ODF3B",222,2,24,0,1,0,4,121,0,3,1,0,0,58,36,20,15,25,52,0,3,1,19,3,738,14,24,5,6,13
"CTA-384D8.35",5,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,0,0,1,0,21,1,1,0,0,0
"CTA-384D8.34",70,1,13,1,0,0,1,9,0,1,0,0,0,31,6,1,1,7,8,1,1,0,0,0,377,5,14,0,1,1
"KLHDC7B",12,1,3,0,0,0,0,5,0,1,0,0,0,20,9,3,0,6,31,1,0,1,1,0,65,1,3,1,3,1
"SYCE3",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"CPT1B",3,0,1,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,3,0,0,0,0,1
"CHKB",14,0,2,0,0,1,0,10,0,1,0,0,0,7,7,0,0,3,7,0,0,0,6,1,39,2,3,1,0,4
"CHKB-AS1",24,1,5,0,0,0,2,5,1,1,0,0,0,7,2,5,0,2,11,0,0,0,7,0,58,0,4,0,1,0
"MAPK8IP2",0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,4,0,1,0,0,0
"ARSA",145,2,19,0,0,2,5,95,0,4,0,1,0,39,32,12,4,13,55,2,2,0,27,1,891,6,17,1,9,8
"ACR",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1
"RABL2B",20,1,5,1,0,0,3,24,0,0,0,0,0,25,22,4,4,7,52,2,2,0,12,1,65,4,20,1,5,1
"AP001347.6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0
"RBM11",1,0,0,0,0,0,0,1,0,0,0,0,0,8,3,0,0,2,11,1,0,0,4,0,21,0,3,2,1,0
"HSPA13",73,2,7,0,1,0,3,31,0,1,0,0,0,35,14,8,5,16,43,1,1,0,9,0,566,5,9,1,2,5
"SAMSN1",565,61,43,13,8,12,2,22,2,27,12,1,19,458,441,171,5,41,474,13,16,18,16,0,416,32,62,8,81,3
"AF127936.3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"AF127936.5",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0
"AF127936.7",11,0,2,0,0,0,0,4,0,1,0,0,0,3,2,0,0,0,4,0,0,1,4,0,10,0,3,0,0,0
"NRIP1",113,0,12,0,0,0,3,25,1,1,0,0,0,39,15,4,2,8,19,0,2,0,47,1,65,4,16,0,2,2
"USP25",33,0,8,0,0,0,0,8,0,2,0,0,0,22,16,7,1,3,41,3,0,2,10,0,53,2,13,1,3,0
"CXADR",4,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,0,1,11,1,0,0,166,0,9,0,2,0,0,0
"BTG3",78,15,12,1,2,7,11,117,0,2,0,1,3,54,62,31,6,17,102,4,4,2,33,5,575,7,59,7,18,6
"C21orf91-OT1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0
"C21orf91",18,5,4,1,0,0,3,24,0,4,0,0,0,15,20,11,1,4,28,3,0,3,8,1,164,0,21,3,10,3
"AL109761.5",1,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,96,0,2,0,1,0
"CHODL",0,1,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
"NCAM2",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AP000476.1",6,0,0,1,0,0,0,0,0,1,0,0,0,4,2,1,0,1,5,0,0,0,0,0,5,0,1,0,1,0
"LINC00158",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0,0
"MIR155HG",97,8,8,1,1,1,1,30,1,2,0,0,0,134,33,12,2,39,101,2,6,2,2,0,1607,4,56,3,79,5
"MRPL39",32,4,1,0,0,0,4,46,0,3,1,0,0,33,13,3,3,22,33,0,1,0,45,0,126,3,33,8,4,8
"JAM2",12,0,1,0,0,0,3,22,0,0,0,0,0,7,3,2,0,5,8,1,0,0,0,0,37,0,1,0,0,99
"ATP5J",1534,64,232,6,10,13,68,775,5,37,8,4,7,720,402,208,98,234,1032,29,24,20,1727,19,4610,67,755,60,111,110
"GABPA",34,5,4,0,0,0,1,25,0,0,0,1,0,20,7,4,2,7,24,0,0,1,9,0,67,3,16,0,3,4
"APP",99,4,13,1,0,1,67,360,0,4,0,0,0,63,41,10,38,27,89,3,3,2,310,4,176,3,10,2,7,132
"CYYR1",1,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,3,2,1,0,0,0,0,0,12,0,0,1,0,75
"ADAMTS1",2,0,0,0,0,0,3,53,0,0,0,0,0,1,0,0,8,0,1,0,1,0,1,1,9,0,0,0,0,3
"ADAMTS5",1,0,1,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,1,0,0,0
"AF131217.1",0,2,0,0,1,0,0,7,0,1,0,0,0,3,5,3,14,0,3,0,0,0,0,0,26,0,0,0,0,0
"N6AMT1",13,4,4,0,0,1,1,20,0,0,0,1,0,11,3,0,2,2,18,2,0,0,13,0,24,1,8,1,3,1
"LTN1",29,2,1,1,0,0,0,20,0,2,1,1,0,28,20,9,2,10,36,0,2,0,22,1,114,3,13,0,2,6
"RWDD2B",50,0,8,0,1,0,2,36,0,0,0,0,0,9,3,1,1,4,16,1,0,1,17,0,116,1,14,2,3,10
"RP1-100J12.1",2,0,0,1,0,0,0,1,0,1,0,0,0,2,2,0,0,2,3,0,0,0,1,0,12,0,0,0,0,0
"USP16",231,30,44,2,7,9,18,201,1,18,1,2,0,265,140,63,16,72,409,20,5,10,103,6,1330,21,147,17,38,23
"CCT8",291,19,70,1,4,4,17,291,2,6,1,4,3,302,120,60,26,112,454,14,5,7,247,3,1276,22,369,45,36,41
"MAP3K7CL",20,0,2,0,0,0,0,5,0,1,0,0,0,49,2,0,0,1,10,0,1,1,0,16,27,2,69,2,0,0
"BACH1",89,1,10,0,0,0,2,26,0,1,0,0,0,56,20,11,2,15,36,0,0,0,5,0,362,4,13,1,7,3
"BACH1-IT2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,0
"CLDN8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TIAM1",57,0,10,0,0,0,0,1,1,0,0,0,1,4,6,0,0,2,58,0,1,0,3,0,32,4,4,2,15,4
"AP000251.3",2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,6,0,6,0,16,1,0,0
"AP000253.1",2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,3,0,1,0,0,0
"SOD1",902,70,134,6,20,13,102,761,12,49,5,14,7,945,516,248,64,234,1727,43,26,19,1067,12,2879,37,520,60,218,92
"AP000254.8",3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,5,0,1,0,0,0
"SCAF4",45,5,6,0,2,1,2,26,1,3,1,0,1,81,27,17,4,27,106,3,5,0,25,0,127,3,63,3,8,4
"HUNK",3,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,5,0,4,0,1,1,3,0,6,0,1,0,0,0
"MIS18A",39,4,9,0,0,1,2,21,1,0,0,0,0,30,12,6,3,7,34,1,1,0,39,1,77,0,54,7,3,5
"MRAP",2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"URB1",8,2,1,0,0,0,1,10,0,1,1,0,0,10,4,3,2,2,17,0,0,0,6,0,28,0,3,0,0,4
"EVA1C",1,2,0,0,0,1,0,16,0,0,0,1,0,0,11,4,1,0,26,1,2,0,12,0,21,0,3,1,1,26
"TCP10L",1,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,4,0,0,0,1,0
"C21orf59",65,6,18,1,1,3,7,83,0,5,1,2,6,82,51,27,13,26,146,4,3,4,56,0,351,4,68,8,25,21
"SYNJ1",23,1,3,0,0,0,0,7,0,0,0,0,0,1,3,1,0,0,17,0,0,0,2,1,27,0,3,0,0,1
"PAXBP1-AS1",9,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,11,0,1,0,1,1
"PAXBP1",25,1,5,0,1,0,6,24,1,0,0,0,0,17,10,5,0,9,31,1,1,0,19,0,69,0,9,3,6,1
"C21orf62",1,1,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,1,7,0,0,0,0,0,7,0,2,0,3,0
"IFNAR2",277,12,28,0,1,3,12,98,1,10,1,0,1,82,58,22,8,17,163,7,3,4,10,1,1888,9,22,3,28,18
"IL10RB-AS1",98,0,12,0,0,0,1,9,1,1,1,0,1,10,10,4,0,3,17,1,1,0,2,0,128,2,4,1,3,1
"IL10RB",309,7,22,0,2,0,3,186,0,6,2,1,1,80,62,16,14,23,140,3,3,5,74,0,458,16,18,5,22,21
"IFNAR1",154,2,19,0,0,0,10,114,0,4,0,1,1,65,34,19,8,25,109,4,5,1,31,0,832,12,16,1,13,20
"IFNGR2",937,2,72,0,1,1,11,200,0,3,0,1,1,302,35,13,15,61,159,8,3,3,83,2,749,38,93,1,13,26
"TMEM50B",204,13,32,1,1,3,11,175,0,10,2,4,0,107,89,38,18,26,200,3,4,5,83,2,999,7,38,2,29,28
"DNAJC28",2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0
"GART",49,2,11,0,0,2,1,40,0,2,0,2,0,42,19,8,2,15,52,2,1,0,32,0,104,4,28,1,11,7
"SON",704,91,146,10,8,21,53,686,5,49,4,8,9,770,465,209,49,213,1266,35,27,37,301,10,2668,41,316,43,123,74
"DONSON",18,0,6,0,0,0,2,3,0,1,0,0,0,5,5,0,0,2,16,1,0,0,8,0,60,2,33,2,1,2
"CRYZL1",65,5,9,0,1,2,8,91,0,4,1,1,0,115,41,13,11,38,173,5,4,4,55,6,209,1,36,4,13,13
"ITSN1",57,0,2,0,0,0,4,36,0,0,0,0,0,2,1,0,3,2,7,2,0,0,19,0,24,0,3,0,2,3
"ATP5O",1031,45,178,7,8,7,44,752,6,36,5,9,7,1084,376,156,91,310,1599,59,21,16,1371,12,3627,48,595,65,113,89
"LINC00649",8,8,1,0,0,2,0,3,0,1,0,0,0,8,31,14,0,3,163,3,1,2,4,1,53,1,4,5,22,0
"AP000569.9",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,15,2,7,0,0,0
"MRPS6",204,29,62,2,6,5,23,546,5,18,3,5,3,233,134,62,15,70,456,17,19,6,184,11,1047,20,268,24,39,19
"KCNE2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"KCNE1",3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,4,0,1,0,1,0
"RCAN1",161,3,8,0,0,0,25,60,0,1,0,1,0,19,5,7,5,2,21,1,1,2,20,0,88,6,6,1,4,31
"CLIC6",1,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,2,0,0,0,0,0,9,0,5,0,0,0,0,0
"RUNX1",76,3,7,0,0,0,1,96,0,0,0,0,0,21,22,6,0,10,69,2,2,1,13,0,63,3,17,1,5,2
"SETD4",19,0,4,0,0,0,4,38,0,0,0,0,1,25,10,8,4,9,37,0,0,1,11,0,47,0,11,0,4,8
"CBR1",294,10,46,0,2,0,63,317,0,4,0,1,2,73,62,24,57,18,142,2,1,4,288,5,383,26,26,6,20,20
"CBR3",9,1,4,0,0,0,9,57,0,0,0,0,0,6,2,0,18,1,21,2,0,0,11,0,21,0,3,0,3,7
