"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"RP11-154H23.3",1,0,1,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,12,1,0,0,2,0,6,0,7,0,0,0
"EIF4E3",7,2,3,0,0,1,1,24,0,2,0,0,0,2,25,8,2,1,28,1,0,0,16,0,86,1,2,1,3,3
"GPR27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"LINC00877",29,0,14,0,0,0,0,8,0,0,0,0,0,8,3,1,1,8,4,2,0,1,2,0,116,15,57,1,0,0
"RYBP",82,11,13,0,0,0,2,59,1,1,1,0,2,47,20,13,16,16,68,1,6,2,44,0,345,8,19,0,8,16
"SHQ1",18,1,5,0,0,0,2,17,0,1,0,0,0,17,8,5,2,7,31,2,1,1,15,1,51,0,12,5,2,6
"GXYLT2",1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,4,0,0,0,0,1
"PPP4R2",94,6,19,0,0,2,5,76,1,2,2,0,1,79,49,31,8,28,138,13,6,6,61,3,245,3,53,4,15,8
"EBLN2",7,2,3,0,0,1,1,2,0,0,0,0,0,17,8,5,0,5,21,2,0,0,9,0,24,0,7,0,3,2
"PDZRN3",1,0,0,0,0,0,3,56,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,6,0,0,0,0,1
"CNTN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"RP11-803B1.8",2,2,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,1,4,0,0,0,3,0,4,0,0,0,0,0
"ZNF717",12,1,0,0,0,0,0,12,0,0,0,0,0,4,1,2,1,8,11,0,0,0,10,0,26,2,5,0,2,0
"ROBO1",11,0,1,0,0,0,0,68,0,0,0,1,0,4,0,1,1,2,2,0,0,0,4,1,10,0,0,0,0,2
"GBE1",40,2,6,0,0,0,4,28,0,1,0,0,0,24,11,4,9,12,21,1,0,0,23,0,82,1,18,3,4,15
"LINC00971",10,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,0,0,0,1,0,4,0,0,0,0,0
