"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"ZNF416",0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,3
"ZNF530",0,0,0,0,0,1,0,0,0,2,0,0,0,0,10,1,0,1
"ZNF134",0,0,0,0,0,2,3,1,0,2,0,0,1,0,17,0,0,1
"ZNF211",0,0,0,0,0,3,6,0,0,1,0,0,0,0,29,0,0,0
"ZNF551",0,0,0,0,0,0,2,0,0,0,1,0,0,0,29,0,0,0
"ZNF154",0,0,0,0,0,1,0,0,2,0,0,1,0,0,12,0,0,0
"ZNF671",0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,2
"ZNF776",0,0,0,0,0,0,1,0,0,0,1,0,0,0,21,0,0,0
"ZNF586",0,1,0,0,0,1,1,0,1,1,1,0,0,0,41,0,1,1
"ZNF552",0,0,0,0,0,7,0,0,0,1,0,0,0,0,192,0,0,2
"ZNF587B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"ZNF814",1,0,1,0,0,1,2,0,0,4,1,0,1,1,421,0,0,0
"ZNF587",0,0,0,0,0,0,2,0,0,4,1,0,0,0,195,0,0,1
"ZNF417",0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"ZNF256",0,0,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,0
"C19orf18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"ZNF606",1,0,0,0,0,2,0,0,0,1,1,0,0,0,31,0,0,2
"ZNF135",0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0
"ZSCAN18",0,0,1,0,2,19,3,0,0,5,0,0,1,1,98,0,0,4
"ZNF329",0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0
"ZNF274",0,0,0,0,1,3,5,0,0,10,1,3,1,0,105,1,1,2
"ZNF544",0,0,0,0,0,4,3,0,0,4,1,1,0,0,110,0,0,2
"CTD-3138B18.5",0,1,0,0,0,1,2,0,0,0,1,1,0,0,51,0,1,0
"ERVK3-1",0,0,3,2,0,23,8,2,0,10,0,1,1,2,132,0,0,2
"ZSCAN22",0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0
"A1BG-AS1",0,0,0,0,0,10,3,2,0,3,1,0,2,0,0,0,0,1
"ZNF497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"ZNF837",0,0,0,0,0,2,2,0,0,2,0,0,0,0,49,0,0,1
"RPS5",16,88,427,27,21,1464,858,87,88,1140,215,158,94,135,57168,97,68,202
"ZNF584",0,0,0,0,0,4,1,0,0,0,0,1,0,0,36,0,0,2
"CTD-2619J13.14",0,0,0,0,0,1,0,0,0,1,0,1,0,0,5,0,0,0
"ZNF324B",0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,1,0,0
"ZNF324",0,0,0,0,0,2,1,0,0,2,1,0,0,0,55,0,1,2
"ZNF446",0,0,1,0,0,4,0,0,0,2,0,0,0,0,88,0,0,0
"SLC27A5",0,0,0,0,0,4,1,0,0,3,0,0,0,1,169,1,0,1
"ZBTB45",0,0,0,0,0,5,2,0,0,0,0,0,0,0,103,0,0,1
"TRIM28",0,1,1,0,0,26,4,1,0,9,2,0,1,1,756,0,0,4
"CHMP2A",0,6,20,1,3,111,53,1,0,48,7,7,7,14,5000,6,5,40
"UBE2M",0,0,1,0,0,4,2,0,1,6,1,1,0,0,381,0,0,7
"MZF1",1,1,2,0,0,2,8,0,0,5,4,1,0,1,146,0,0,1
"RPS4Y1",8,28,101,9,8,527,274,44,25,311,75,54,41,58,9855,16,23,98
"ZFY",0,0,0,0,0,1,2,0,0,3,2,0,0,0,23,0,0,0
"LINC00278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"PCDH11Y",0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0
"TTTY15",0,2,0,0,0,5,0,0,0,1,1,0,0,0,37,0,0,0
"USP9Y",0,1,0,0,0,0,1,0,0,1,0,0,0,0,12,0,0,1
"DDX3Y",0,0,1,0,0,8,2,4,0,8,4,1,0,0,67,0,0,3
"UTY",0,0,1,0,0,2,0,0,0,3,0,1,0,0,45,0,0,1
"TMSB4Y",0,0,0,0,0,3,1,0,0,2,0,0,0,0,272,0,0,0
"TTTY14",0,0,0,0,0,11,1,0,0,0,0,0,0,0,143,0,0,1
"KDM5D",0,0,0,0,0,12,0,1,0,0,1,0,1,0,64,0,0,2
"EIF1AY",0,1,1,3,2,12,9,8,0,17,12,3,0,3,690,1,1,3
"TPTEP1",0,0,0,0,0,6,2,0,1,4,0,0,0,1,23,0,1,2
"CECR7",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"IL17RA",0,0,1,0,0,2,3,0,0,3,0,0,0,0,135,0,0,0
"CECR5",0,1,0,0,1,18,9,1,1,4,0,1,0,0,807,1,0,3
"CECR5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"CECR1",0,0,11,0,0,11,0,0,1,3,1,0,0,0,16,2,0,3
"ATP6V1E1",0,1,8,2,10,55,26,2,1,26,4,2,5,3,898,1,3,25
"BCL2L13",0,0,2,0,0,6,5,0,1,7,0,0,1,0,348,0,6,1
