"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"ZNF423",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,4
"CNEP1R1",55,1,14,0,0,0,1,32,1,2,1,2,3,0,22,4,0,2,0,3,1,53,25,4,0,1,4,8
"HEATR3",36,0,8,0,0,0,0,6,0,2,1,1,0,0,11,2,0,0,0,0,0,32,13,3,0,0,1,2
"PAPD5",107,1,38,0,0,0,1,45,0,3,0,0,0,0,15,7,2,4,1,2,0,156,19,5,0,0,1,7
"ADCY7",116,2,59,0,0,1,2,59,3,0,0,1,1,2,21,9,3,2,0,9,0,15,13,7,1,1,1,0
"BRD7",121,3,33,3,1,1,2,151,3,2,0,1,0,6,49,18,7,8,0,9,4,260,96,9,4,2,5,19
"SNX20",30,2,52,1,1,2,0,1,2,10,0,3,1,3,53,12,0,12,0,7,1,0,47,20,1,5,2,0
"NOD2",3,0,15,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,15,3,0,0,0,0
"RP11-327F22.2",7,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,20,0,0,0,0,0
"CYLD",158,4,56,3,2,1,1,49,6,11,5,4,7,10,116,28,0,33,0,16,3,95,183,20,3,2,16,22
"SALL1",2,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
"TOX3",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0
"RP11-297L17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
"CHD9",393,6,135,1,1,0,14,349,2,7,1,9,13,14,84,37,10,7,0,6,4,359,219,20,0,2,5,52
"RP11-44F14.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,18,0,0,0,0,0,0
"RBL2",65,6,18,1,2,0,1,91,7,18,7,4,0,9,151,33,4,29,1,7,8,135,50,1,4,0,5,6
"AKTIP",23,3,5,0,1,3,4,44,2,1,0,3,0,2,32,29,0,9,1,3,2,78,49,0,1,2,6,27
"RPGRIP1L",7,0,0,0,0,0,1,15,0,0,0,0,0,1,3,2,0,1,0,0,0,30,3,0,0,0,1,0
"FTO",25,0,10,0,0,1,3,44,1,1,0,0,0,1,12,4,1,2,0,0,0,52,17,3,0,0,2,7
"CRNDE",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1
"MMP2",13,0,0,0,0,1,6,2358,1,0,0,0,0,1,6,1,65,1,0,1,0,1,7,6,0,0,0,17
"LPCAT2",188,0,70,0,0,0,4,9,0,0,0,1,5,0,1,0,0,0,0,0,0,90,3,19,0,0,0,11
"RP11-212I21.4",5,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,1,0,0,0,0
"CES1",4,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,24,0,0,0,0,11,10,0,0,0,1,1
"GNAO1",0,0,1,0,0,0,0,14,1,0,0,0,0,0,5,3,2,1,0,0,1,1,1,0,0,0,0,0
"AMFR",74,0,11,0,1,0,2,46,2,1,0,0,0,3,23,10,0,5,0,1,0,124,52,2,2,0,1,7
"RP11-413H22.2",2,0,2,0,0,0,0,5,0,0,0,0,0,0,5,2,0,3,0,0,0,7,3,0,0,0,0,0
"NUDT21",180,1,48,3,0,0,0,135,8,3,2,5,1,10,72,26,4,16,0,6,3,450,236,11,6,10,10,24
"OGFOD1",24,0,17,1,0,1,0,41,4,4,1,1,1,0,19,5,1,4,1,3,1,59,42,5,2,1,1,9
"BBS2",19,0,4,0,0,0,6,37,0,0,0,0,0,0,9,3,1,1,0,1,0,54,19,0,0,0,0,7
"MT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
"MT2A",6364,17,231,8,5,4,137,370,10,6,6,4,9,10,156,71,16,32,2,18,8,9967,449,175,14,21,31,85
"MT1E",1206,1,6,0,0,0,40,129,1,0,0,0,2,3,20,8,9,3,0,1,3,12241,121,9,2,2,11,23
"MT1M",169,0,1,0,0,0,14,7,0,1,0,0,0,1,0,0,0,0,0,0,0,1841,6,0,0,0,0,1
"MT1A",63,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,208,1,1,0,0,0,2
"MT1B",7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,72,1,0,0,0,0,0
"MT1F",590,5,7,2,2,1,13,8,3,3,0,0,1,1,43,24,0,13,1,6,4,2908,147,4,2,4,4,0
"MT1G",3412,1,13,0,0,0,0,14,0,0,0,0,0,1,10,6,1,1,0,0,1,20198,29,3,0,1,0,0
"MT1H",1559,0,3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,2650,10,2,0,0,0,1
"MT1X",4454,11,39,5,2,3,15,61,8,6,2,1,1,5,93,36,3,25,2,9,4,5904,214,15,4,2,18,26
"NUP93",45,4,15,0,0,0,3,44,0,1,0,3,0,3,18,12,3,2,1,2,2,104,34,7,2,3,0,16
"HERPUD1",1854,16,992,3,10,7,36,864,27,26,7,66,28,152,346,130,17,52,2,52,11,736,11351,150,14,10,42,203
"CETP",6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"NLRC5",19,2,6,1,1,5,1,18,4,3,1,1,0,6,39,18,3,11,1,5,1,72,21,6,1,3,3,6
"CPNE2",60,0,3,0,0,0,5,18,3,0,0,0,0,0,0,1,0,0,0,0,0,151,1,2,0,0,1,26
"FAM192A",181,2,54,1,0,2,1,99,4,4,1,3,2,5,40,24,5,7,0,5,0,279,139,22,3,2,6,30
"RSPRY1",47,1,15,0,0,0,1,78,1,1,1,1,0,4,25,9,3,6,0,3,0,155,57,3,1,0,2,12
"ARL2BP",242,5,62,5,1,1,15,294,9,12,2,8,6,13,177,56,17,46,2,12,6,149,300,15,4,7,13,71
"PLLP",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,42
"CCL22",0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"CX3CL1",0,0,0,0,0,0,1,19,0,0,0,0,0,0,5,0,2,1,0,0,0,2,3,0,0,0,0,16
"CIAPIN1",62,2,19,0,0,0,0,80,1,1,0,1,1,2,23,10,2,5,0,2,0,176,43,6,1,1,1,23
"COQ9",60,0,14,0,0,0,0,62,3,0,1,1,3,3,20,7,1,5,0,0,2,364,56,1,1,0,2,19
"POLR2C",74,8,35,3,0,1,3,171,5,9,3,4,2,14,91,41,12,18,0,13,4,168,162,6,2,3,10,31
"DOK4",1,0,0,0,0,0,1,37,0,0,0,0,0,0,3,0,0,0,0,0,0,208,5,0,0,0,1,5
"CCDC102A",14,1,4,0,0,0,1,45,4,0,0,1,0,3,3,3,1,2,0,2,1,2,58,0,0,0,4,7
"KATNB1",19,1,4,2,1,0,0,18,0,0,1,1,1,2,21,6,0,3,0,1,1,54,53,3,0,2,2,14
"KIFC3",60,0,1,0,0,0,2,37,3,0,0,2,0,0,1,4,0,2,0,1,0,0,3,2,0,0,0,22
"TEPP",0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,3,0,0,0,0,1,0,3,0,0,0,0,0
"ZNF319",5,0,2,0,0,0,0,9,0,0,0,0,0,1,2,3,1,2,0,0,0,3,4,0,0,0,1,0
"USB1",100,3,24,2,0,0,2,41,5,2,1,1,1,2,33,21,3,8,0,7,5,66,46,7,1,3,6,11
"MMP15",3,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,252,1,0,0,0,0,7
"CSNK2A2",49,0,10,0,0,0,1,21,0,1,0,2,0,0,7,6,0,3,0,0,1,94,30,5,0,0,0,7
"CCDC113",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3
"GINS3",18,0,4,0,0,0,2,8,1,0,0,0,0,0,1,0,0,0,0,1,1,20,6,0,0,0,0,3
"NDRG4",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"SETD6",9,0,5,0,0,2,1,21,0,0,0,0,0,1,11,4,1,2,0,2,2,57,16,1,1,0,0,3
"CNOT1",153,3,28,2,0,1,3,59,1,3,0,2,1,7,32,16,3,5,0,5,4,397,50,13,2,1,6,10
"SLC38A7",76,0,10,0,0,0,1,18,1,0,0,0,0,0,4,0,1,1,0,0,0,22,5,3,0,0,1,6
"GOT2",75,1,16,1,1,0,1,53,2,0,2,0,2,3,13,4,3,7,0,1,1,340,42,1,1,1,1,13
"RP11-21L1.1",4,0,1,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,1,0,7,4,0,0,1,0,0
"CDH11",1,0,1,0,0,0,2,285,0,0,0,0,0,0,0,0,7,0,0,0,0,2,2,0,0,0,0,1
"CDH5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82
"LINC00920",13,1,3,0,0,0,0,0,0,0,0,0,1,0,8,1,0,4,1,0,0,19,0,0,0,0,1,1
"TK2",110,0,42,1,1,1,4,48,5,1,0,2,0,0,16,3,2,3,0,0,1,47,55,5,0,1,0,8
"RP11-403P17.3",1,0,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8,0,0,0,0,0
"CKLF",859,38,306,34,15,10,6,107,106,58,28,24,27,15,698,370,6,103,3,77,41,785,590,35,14,27,61,48
"CMTM3",316,6,132,3,9,3,5,199,20,24,2,15,3,1,208,94,9,32,0,27,6,0,12,19,3,10,16,20
"CMTM4",2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,394,1,0,0,0,0,0
"DYNC1LI2",73,1,16,1,0,0,9,175,2,2,0,4,1,3,23,8,8,3,0,4,1,456,68,3,0,5,7,45
"RP11-61A14.4",0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,1,0,1,0,1,0,6,3,0,0,0,0,0
"NAE1",56,4,10,1,1,1,5,125,10,6,2,3,5,8,78,26,2,21,0,9,3,318,104,5,4,1,7,25
"RP11-61A14.1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0
"CA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0
"PDP2",0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,2,1,0,0,0,9,2,0,0,0,1,1
"RRAD",5,0,19,0,0,0,2,40,0,0,0,2,2,1,2,5,1,1,0,3,2,0,68,6,0,0,0,2
"FAM96B",658,14,224,4,5,3,20,506,26,18,4,8,17,29,270,110,18,47,0,23,8,1307,750,51,17,6,34,117
"CES2",54,1,21,0,0,0,1,93,1,4,0,1,2,2,23,8,9,4,1,5,0,2015,34,6,0,1,2,13
"CES3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,3,0,0,0,0,0
"CES4A",8,0,7,0,0,0,1,4,0,0,0,0,0,0,3,0,0,2,0,0,0,25,5,0,0,0,1,1
"CBFB",150,3,59,1,1,0,4,63,7,3,2,1,3,2,59,17,1,12,0,5,3,103,93,12,1,4,5,9
"C16orf70",35,0,2,0,1,0,0,24,1,1,1,2,0,0,8,5,1,2,0,3,0,34,13,1,0,0,0,2
"B3GNT9",2,0,2,0,0,0,0,59,0,2,0,0,0,0,2,0,4,0,0,0,0,0,24,0,0,0,0,1
"TRADD",85,3,74,2,2,1,3,139,3,7,4,4,2,12,117,33,5,30,0,8,1,138,376,29,5,2,15,16
"FBXL8",5,0,3,0,0,0,1,15,1,2,0,0,0,3,11,3,1,1,0,0,0,45,46,1,0,1,0,1
"HSF4",15,0,1,0,0,0,0,3,0,0,0,0,0,0,3,1,1,0,0,0,0,7,8,0,0,0,0,0
"NOL3",5,0,1,1,0,0,1,61,0,0,0,0,0,0,1,0,4,0,0,0,0,69,41,0,0,0,1,4
"KIAA0895L",5,0,3,0,0,0,0,15,0,0,0,0,0,0,0,1,1,1,0,0,0,34,3,0,0,0,0,3
"EXOC3L1",10,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,15
"E2F4",111,4,68,1,0,1,0,71,3,8,1,2,2,7,72,22,2,8,0,6,4,158,121,18,4,4,5,16
"ELMO3",3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,230,2,0,0,0,0,1
"LRRC29",19,0,7,0,0,0,0,19,0,0,0,1,0,0,4,0,0,1,0,0,0,4,9,1,0,0,0,3
"TMEM208",292,3,55,4,1,1,14,285,10,7,4,5,7,22,102,50,8,19,0,13,5,747,1153,22,7,8,12,38
"FHOD1",42,1,13,1,0,0,1,33,0,1,0,1,0,1,17,5,1,0,0,1,0,37,23,1,0,0,0,7
"SLC9A5",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"PLEKHG4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,3,0,0,0,0,0
"KCTD19",2,0,2,0,0,0,0,4,1,0,0,0,0,0,2,1,0,1,0,0,0,9,2,0,0,0,2,1
"LRRC36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"TPPP3",0,0,8,0,0,0,29,141,0,0,0,0,0,0,0,0,16,0,0,0,0,13,2,4,0,0,0,7
"ZDHHC1",9,1,2,0,0,0,0,18,0,0,0,0,0,0,0,1,1,0,0,0,0,30,3,0,0,0,0,7
"HSD11B2",2,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,998,2,1,0,0,0,0
"ATP6V0D1",505,3,217,2,3,2,2,175,9,5,2,2,6,12,72,34,9,14,0,10,4,525,238,54,3,2,9,35
"RP11-297D21.4",16,0,1,0,0,0,0,3,1,0,0,1,0,1,7,0,0,0,0,0,0,19,15,0,0,0,0,1
"FAM65A",63,0,28,0,0,0,0,34,0,0,0,1,0,0,2,3,4,2,1,0,0,11,18,7,0,0,0,17
"CTD-2012K14.7",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0
"CTCF",67,1,23,0,2,0,1,53,5,5,0,4,0,5,35,24,4,8,0,3,2,200,71,6,4,3,5,14
"RLTPR",0,1,0,0,1,0,0,0,1,0,0,0,0,1,11,0,0,2,0,0,0,0,7,0,0,0,0,0
"ACD",39,1,17,1,1,0,5,69,3,1,1,3,2,5,42,19,2,4,0,3,1,41,80,4,1,1,5,18
"PARD6A",50,0,6,0,0,0,1,3,4,2,0,3,0,5,43,18,0,10,0,3,1,27,75,3,2,1,3,7
"ENKD1",8,0,5,0,0,0,0,27,0,0,0,1,0,1,1,0,1,0,0,1,0,20,23,0,0,0,0,9
"C16orf86",16,0,10,0,0,0,2,40,1,0,0,0,0,0,1,2,2,0,0,0,0,0,31,3,0,0,0,3
"GFOD2",17,0,5,1,1,0,0,28,0,0,0,3,0,0,14,4,3,3,0,4,0,123,33,0,1,0,5,21
"RANBP10",13,1,4,0,0,0,0,14,0,0,0,0,0,0,5,1,0,0,0,0,0,39,4,1,0,0,1,2
"TSNAXIP1",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"CENPT",25,0,11,2,0,2,2,107,2,1,1,1,0,0,34,20,2,8,0,3,0,50,89,4,2,1,5,15
"THAP11",68,2,20,1,0,0,3,92,1,4,1,4,0,5,32,17,5,8,1,6,0,122,99,2,0,1,2,9
"NUTF2",368,6,101,1,1,2,6,199,8,8,1,11,0,15,126,39,9,25,1,21,4,515,263,25,8,3,22,30
"PSKH1",10,0,8,1,0,0,0,13,0,3,1,0,0,1,6,4,1,2,0,0,0,49,13,1,0,1,2,4
"CTC-479C5.12",3,0,3,0,0,0,0,9,3,1,1,0,0,2,6,6,0,1,0,0,0,14,11,2,0,0,2,0
"PSMB10",75,1,35,1,2,1,5,74,10,4,2,2,1,1,57,19,2,7,0,3,2,266,104,29,2,4,3,5
"LCAT",2,0,1,0,0,0,2,27,0,0,0,0,1,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0
"SLC12A4",23,0,3,0,0,0,1,71,1,1,0,0,0,2,1,2,0,0,0,1,0,2,26,1,2,0,0,11
"DPEP3",9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"DPEP2",58,0,6,0,0,1,0,3,0,0,0,0,0,2,13,1,7,2,0,4,0,0,39,0,0,1,5,3
"DUS2",21,0,8,0,0,0,2,17,1,1,2,0,0,4,5,4,0,5,1,2,0,54,46,2,1,1,2,4
"DDX28",12,1,8,0,1,0,0,19,1,1,0,3,0,2,9,4,1,2,0,2,0,61,19,3,0,1,1,4
"NFATC3",44,6,5,1,0,0,0,25,5,4,1,0,1,2,31,13,1,11,0,2,0,38,24,4,0,4,2,6
"RP11-96D1.11",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,95,1,0,0,0,0,0
"ESRP2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0
"PLA2G15",82,0,9,0,0,0,0,20,0,2,0,0,0,0,7,1,0,0,0,1,0,18,18,2,0,0,0,5
"SLC7A6",10,0,8,0,0,1,0,12,2,4,0,2,0,3,19,2,1,9,0,2,1,45,18,1,0,0,1,3
"SLC7A6OS",35,0,8,0,1,0,0,55,3,4,2,2,1,3,30,7,3,6,0,2,0,60,30,3,0,1,3,8
"PRMT7",22,0,13,0,1,0,0,43,1,0,0,0,0,3,19,2,1,1,1,1,0,102,34,1,0,1,2,3
"SMPD3",1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,123,19,0,0,0,0,0
"ZFP90",25,0,6,1,1,1,2,49,0,2,0,0,0,1,13,2,2,4,0,0,0,31,12,1,0,0,0,3
"CDH1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1048,0,0,0,0,0,0
"TANGO6",12,0,3,0,0,0,0,10,1,0,1,0,0,3,9,6,2,1,0,0,0,23,7,0,0,0,1,3
"HAS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
"CHTF8",88,2,31,0,1,0,3,73,2,3,1,1,3,4,17,4,3,8,1,1,2,154,78,17,0,2,5,17
"SNTB2",26,0,3,0,0,1,1,78,2,1,0,0,0,0,29,11,4,2,0,1,0,120,12,2,0,0,1,36
"VPS4A",124,2,43,1,0,3,7,94,4,6,3,2,0,8,60,24,5,11,0,9,2,159,170,15,5,3,13,29
"COG8",20,0,4,0,0,0,0,22,1,0,0,0,1,1,9,5,1,1,0,1,1,84,25,1,0,0,0,5
"NIP7",48,0,18,1,2,2,4,58,4,7,2,2,0,11,51,23,3,11,1,3,1,141,47,4,4,1,4,22
"TMED6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71,0,0,0,0,0,0
"TERF2",38,1,18,0,0,0,0,29,4,1,0,0,1,4,14,4,0,1,0,0,0,82,18,1,1,1,1,5
"CYB5B",122,3,36,4,6,0,3,196,4,7,2,2,2,10,103,37,6,20,0,11,3,421,86,17,4,5,11,39
"NFAT5",25,0,17,0,1,0,3,47,1,3,1,1,3,3,23,5,1,9,0,2,1,68,20,2,0,0,1,8
"NQO1",62,0,1,0,0,0,4,147,0,1,0,1,0,1,9,1,7,2,0,0,0,902,11,1,1,1,2,106
"NOB1",52,3,35,1,0,0,3,194,6,2,0,4,2,10,50,21,6,13,2,4,0,305,130,5,2,1,7,36
"WWP2",38,1,13,0,0,1,2,15,2,2,1,0,1,2,17,7,0,4,0,3,0,72,14,2,1,0,0,3
"CLEC18A",7,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0
"PDPR",41,0,6,3,1,0,0,16,0,1,0,0,0,1,4,3,0,4,0,1,0,23,11,1,0,0,1,3
"EXOSC6",30,1,9,0,0,0,0,14,0,0,0,2,0,2,13,3,2,5,1,1,0,87,19,2,1,0,4,3
"AARS",56,1,19,1,0,0,0,56,1,0,0,0,0,2,14,5,2,2,0,2,0,101,150,3,0,0,0,15
"DDX19B",35,0,14,0,2,0,1,41,1,3,0,2,0,3,14,12,5,5,0,3,0,106,48,3,0,1,1,8
"DDX19A",42,0,7,2,0,2,4,74,0,3,1,0,1,2,32,8,0,2,0,4,0,85,63,3,0,1,2,10
"ST3GAL2",23,0,6,0,1,1,2,50,1,2,0,5,2,3,8,7,2,4,0,1,0,20,30,12,0,0,1,3
"FUK",17,0,3,0,0,0,0,9,0,0,0,0,1,1,5,2,0,2,0,1,0,70,5,1,0,0,0,2
"COG4",33,1,8,1,0,1,3,55,1,1,0,3,0,1,16,4,2,3,0,1,0,113,47,2,2,1,3,10
"SF3B3",66,1,17,0,0,0,2,77,1,1,1,3,0,5,30,9,3,5,0,4,1,187,40,6,4,0,4,9
"IL34",3,0,0,0,0,0,1,410,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,14
"MTSS1L",0,0,1,0,0,0,2,23,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0
"VAC14",45,0,11,0,0,0,0,15,1,1,1,0,0,2,6,4,0,1,0,1,0,46,23,11,0,0,0,5
"CMTR2",73,3,19,0,0,0,0,67,5,0,1,4,3,5,40,19,0,11,0,7,2,161,58,9,2,0,3,3
"CALB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RP11-510M2.2",3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ZNF19",4,0,1,0,0,0,0,13,1,1,0,0,0,1,2,1,1,2,0,0,1,13,5,2,0,0,0,2
"MARVELD3",10,0,2,0,0,0,0,3,0,0,0,1,1,0,2,0,0,0,0,0,0,321,6,0,0,0,0,0
"PHLPP2",15,0,5,0,1,0,1,14,0,0,0,0,1,1,4,2,0,0,0,1,1,146,3,2,0,0,0,2
"AP1G1",72,1,16,0,1,0,0,48,1,1,0,3,1,1,16,7,0,6,0,1,0,203,28,2,0,0,7,13
"ATXN1L",43,3,12,0,0,0,1,29,0,0,0,2,0,2,23,14,1,2,0,2,0,74,54,1,0,0,1,6
"IST1",166,0,39,1,1,0,3,130,5,3,1,3,2,9,49,22,7,13,0,5,4,246,71,10,1,2,9,29
"ZNF821",4,2,5,0,1,0,0,35,3,0,0,0,1,5,8,2,1,3,0,3,3,39,55,0,0,0,4,3
"DHODH",15,1,4,1,0,0,1,19,1,1,0,0,0,2,15,3,0,4,0,0,1,60,9,0,1,0,3,7
"TXNL4B",41,2,17,0,0,0,1,34,1,1,0,2,2,6,20,2,0,7,0,1,0,49,48,3,2,3,3,11
"DHX38",39,0,11,1,0,0,1,47,3,3,1,0,0,4,24,18,2,7,0,5,1,94,39,5,0,3,0,11
"ZFHX3",224,0,39,0,0,0,2,101,0,0,0,0,1,0,7,1,4,1,0,1,0,160,6,3,0,0,0,9
"RP11-346C20.3",1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
"AC009120.10",0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1
"PSMD7",271,8,105,2,3,1,7,262,13,11,3,7,3,13,103,37,15,18,1,17,4,732,468,22,10,4,10,65
"RP11-252A24.3",4,0,2,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,0,0,0,0,1
"NPIPB15",5,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,49,6,0,0,0,0,0
"GLG1",98,1,27,0,0,0,6,190,2,2,2,5,1,8,45,15,9,16,1,3,2,178,138,7,0,2,8,15
"RFWD3",32,1,6,0,0,0,0,10,1,1,1,0,0,2,5,3,0,2,0,2,0,75,11,1,0,1,2,4
"MLKL",40,0,14,1,0,0,2,31,2,3,2,1,1,5,23,7,1,6,0,0,0,39,43,4,2,1,5,10
"FA2H",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,3,0,0,0,0,0
"WDR59",28,1,11,0,1,0,0,23,0,2,2,2,0,2,12,9,0,4,0,3,1,79,24,4,1,0,3,4
"ZNRF1",4,0,0,1,0,0,0,16,0,3,1,2,1,0,30,10,0,6,1,1,0,94,1,0,0,1,8,18
"RP11-252E2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"LDHD",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,123,11,0,0,0,0,2
"ZFP1",12,0,1,0,0,0,0,18,1,2,0,2,0,0,11,4,1,2,0,1,1,12,8,0,0,0,0,5
"BCAR1",0,0,0,0,0,0,1,82,0,0,0,0,0,0,0,0,4,0,0,0,0,205,1,2,0,0,0,26
"CFDP1",129,4,53,2,0,1,5,231,2,5,3,2,3,7,74,23,8,14,1,5,1,623,132,13,1,2,9,63
"TMEM170A",176,1,50,2,2,1,3,57,7,2,1,2,4,11,86,34,1,14,1,2,2,428,110,15,2,2,10,17
"TMEM231",4,0,0,0,0,0,1,21,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1
"GABARAPL2",525,21,296,5,4,5,34,983,15,15,7,19,23,38,265,105,28,75,2,33,14,934,536,56,7,7,32,269
"ADAT1",42,2,15,0,0,1,0,30,2,0,0,0,0,1,21,9,1,7,0,0,1,68,17,3,0,2,1,10
"KARS",172,10,62,3,0,2,5,208,14,8,4,4,4,14,165,56,7,30,1,9,6,513,289,35,8,6,16,34
"TERF2IP",157,16,77,5,7,4,12,362,23,9,8,19,7,32,243,92,14,45,2,33,8,225,413,22,10,12,31,70
"MON1B",60,1,17,0,3,0,1,27,1,4,2,1,0,3,16,8,0,8,0,1,0,150,36,3,1,1,4,14
"SYCE1L",9,0,5,1,0,1,0,57,0,0,1,0,0,0,9,2,0,0,0,0,1,242,38,3,0,0,1,11
"NUDT7",12,1,4,0,0,1,1,62,0,1,1,1,0,1,14,5,7,3,0,0,2,79,4,1,0,0,1,13
"VAT1L",0,0,0,0,0,0,0,94,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2
"WWOX",10,0,2,0,0,0,2,45,1,1,1,1,0,1,15,5,1,3,0,1,0,37,43,0,1,1,2,5
"MAF",917,3,41,1,1,6,5,197,0,15,7,8,0,0,146,13,11,23,0,2,0,7,14,7,6,1,30,2
"DYNLRB2",5,0,1,0,0,0,0,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
