"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"TBCCD1",14,1,1,0,1,0,1,13,0,0,0,1,0,1,4,6,0,1,0,3,0,15,15,3,1,0,0,0
"DNAJB11",329,8,110,0,5,2,7,242,16,9,2,5,4,4,102,48,11,14,1,18,6,458,1510,25,6,6,8,52
"RP11-573D15.8",1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,8,2,0,0,0,0,0
"EIF4A2",830,37,327,9,9,14,36,1533,55,75,14,64,31,138,852,240,48,149,10,71,27,1636,2377,79,23,15,75,303
"RFC4",32,0,12,2,1,1,1,36,4,0,1,0,0,3,16,8,1,3,0,2,0,109,69,0,2,4,6,4
"RP11-573D15.2",5,0,5,0,0,0,1,8,0,0,1,1,0,1,3,3,0,2,0,0,1,19,6,0,0,0,0,4
"ST6GAL1",108,0,25,0,0,0,0,1,1,1,0,1,0,9,13,1,1,4,0,1,0,116,149,5,0,0,2,15
"RPL39L",168,2,38,3,2,0,3,44,6,4,2,2,1,11,78,21,0,24,0,5,0,220,209,8,10,8,4,4
"MASP1",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RTP4",25,0,11,0,0,0,2,69,1,2,0,0,0,0,15,3,3,0,0,0,0,43,15,3,1,1,4,9
"SST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"BCL6",16,0,11,0,0,0,1,56,0,1,0,1,0,1,5,4,1,2,0,1,0,8,3,8,1,0,1,4
"LPP-AS2",5,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
