"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"TAOK2",0,0,1,0,44,0,1,1,0,1,2,1,0,0,0,31,0,1,6,2,31,3
"HIRIP3",3,2,6,3,56,1,1,5,2,5,4,1,0,0,0,18,1,3,0,1,15,6
"INO80E",3,0,2,6,61,4,2,2,0,2,1,2,1,0,0,36,1,6,5,0,15,10
"DOC2A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0
"ALDOA",93,19,59,71,1550,10,36,71,17,37,34,9,10,7,14,1230,50,44,165,8,223,148
"CTD-2515O10.5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"PPP4C",19,7,11,11,241,4,5,15,9,13,22,1,3,1,3,212,11,7,46,2,65,18
"TBX6",0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"YPEL3",8,3,4,10,170,2,8,8,9,12,6,1,1,5,2,24,2,10,15,9,29,10
"RP11-455F5.3",0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GDPD3",0,0,0,1,9,0,1,0,0,1,0,2,0,0,0,26,0,0,0,0,4,0
"MAPK3",8,1,2,8,202,0,5,1,0,2,2,1,1,0,1,137,3,3,7,0,49,4
"CORO1A",42,32,44,2,18,19,0,11,34,96,88,0,16,8,16,16,0,14,140,33,1,0
"RP11-455F5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"BOLA2B",2,0,1,0,10,1,2,1,1,1,0,0,0,1,1,22,0,1,3,0,3,0
"SLX1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"SULT1A3",1,0,2,0,11,0,0,0,1,1,2,1,0,0,0,17,0,1,1,0,2,1
"RP11-347C12.3",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
"RP11-347C12.1",0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"CD2BP2",6,1,3,8,139,1,9,13,2,5,8,1,2,1,2,42,3,9,12,3,22,11
"RP11-347C12.10",3,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"TBC1D10B",2,0,2,2,37,0,1,1,1,4,1,0,0,0,2,26,1,0,1,0,13,1
"RP11-347C12.11",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"MYLPF",1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0
"ZNF48",0,0,2,2,7,0,0,5,0,0,1,0,0,0,0,9,1,1,0,0,7,2
"SEPT1",2,8,3,2,81,1,1,4,5,18,18,0,2,0,4,26,2,2,5,4,2,4
