"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CYP24A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PFDN4",28,38,6,5,16,1,35,1,4,1,8,1,6,18,4,4,1,65,4,5,6,2,7,388,124
"DOK5",0,7,0,1,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31
"FAM210B",13,22,1,1,1,0,26,0,0,1,7,1,3,8,1,0,0,33,1,1,0,0,2,92,67
"AURKA",17,5,0,1,2,0,1,0,0,0,4,2,1,1,0,0,0,4,2,0,5,16,1,211,18
"CSTF1",3,9,0,2,2,0,12,0,0,0,2,1,0,9,0,0,0,10,2,0,3,4,1,63,20
"CASS4",18,0,0,4,9,0,1,0,0,0,3,0,6,9,1,0,0,0,0,3,1,2,0,3,0
"RTFDC1",65,36,5,13,13,0,50,6,0,3,37,5,10,23,2,3,4,71,4,15,7,6,13,360,129
"FAM209A",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"FAM209B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"TFAP2C",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"BMP7",2,20,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,3,8
"RP4-813D12.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAE1",13,8,0,0,5,0,8,2,3,0,7,1,2,6,2,1,0,12,2,1,1,7,1,106,18
"MTRNR2L3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP4-800J21.3",2,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,1,1,1
"RBM38",7,1,1,0,4,1,3,0,0,1,9,3,3,9,3,4,3,1,0,1,4,2,4,28,26
"CTCFL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PCK1",8,6,2,1,2,0,10,2,1,0,11,1,6,6,1,2,2,6,3,3,4,1,3,1264,11
"ZBP1",1,1,3,0,9,0,0,1,1,0,2,0,4,13,0,3,1,4,26,0,1,3,4,56,1
"PMEPA1",11,61,1,0,3,0,39,4,2,1,9,1,4,5,1,1,0,102,2,2,1,1,2,484,279
"NKILA",1,1,0,0,0,0,1,0,0,0,3,0,1,1,1,0,0,1,1,0,0,1,1,8,2
"RAB22A",15,12,0,1,3,0,14,0,2,1,2,0,6,8,3,1,0,14,4,1,1,1,3,154,44
"VAPB",6,3,1,2,0,0,18,0,1,0,1,0,2,6,1,0,1,28,4,1,2,2,3,115,38
"APCDD1L",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STX16",22,23,6,3,18,1,37,4,5,1,19,5,12,16,4,5,2,41,11,5,5,6,11,280,75
"STX16-NPEPL1",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1
"NPEPL1",6,4,0,1,2,0,7,0,0,1,1,0,2,1,0,3,0,13,2,0,2,1,0,33,18
"GNAS-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GNAS",148,105,11,20,35,2,130,7,4,8,41,12,26,38,8,6,4,317,33,24,16,13,14,1031,786
"RP1-309F20.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"NELFCD",30,11,9,0,14,0,15,3,5,1,1,3,6,18,3,2,3,42,1,5,4,5,3,180,47
"CTSZ",1063,42,1,31,6,0,41,1,1,4,9,11,4,9,2,0,0,79,10,22,3,3,6,321,154
"ATP5E",1280,420,76,130,236,21,444,47,48,48,197,55,197,306,46,46,49,857,117,146,90,128,142,3745,1457
"PRELID3B",44,12,7,6,10,1,18,3,5,3,14,5,6,20,1,2,4,29,5,10,9,4,4,572,60
"RP3-492J12.2",0,0,0,0,4,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,1,0,4,0,0
"ZNF831",0,0,2,0,0,1,0,1,2,0,0,0,1,2,0,3,0,0,0,0,3,1,1,2,1
"EDN3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"PHACTR3",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
"SYCP2",1,2,1,1,1,0,1,0,1,0,2,1,0,1,0,0,0,9,0,0,0,2,0,4,9
"FAM217B",10,10,2,1,7,0,14,0,0,1,4,4,4,3,1,1,4,26,0,0,1,6,2,71,14
"PPP1R3D",0,1,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,25,8
"CDH26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"C20orf197",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RP5-1017F8.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
