"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-264B17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-264B17.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPNS1",31,20,2,2,6,1,1,12,1,0,3,11,7,5,11,0,4,4,1,1,15,5,6,1,3,5,13,36,45,0
"LAT",11,2,8,0,37,5,1,0,11,4,27,31,2,41,46,0,0,21,4,5,3,8,1,0,60,26,120,11,7,0
"RP11-426C22.5",1,2,0,1,0,0,0,2,0,0,2,1,2,0,1,0,2,2,0,0,0,0,0,0,0,1,1,0,1,0
"RP11-426C22.4",0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RP11-426C22.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-426C22.8",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP11-231C14.7",2,2,0,0,0,0,0,4,1,0,0,5,60,0,1,1,27,0,1,1,2,0,2,65,2,1,4,4,1,0
"NPIPB11",1,0,1,0,3,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,1,0,0,1,1,0,7,0,0
"BOLA2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0
"RP11-345J4.5",1,0,1,0,0,1,0,2,0,0,0,1,3,2,4,0,1,0,1,0,3,4,0,0,1,5,3,62,8,0
"SLX1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0
"SULT1A4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
